LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-10-14 20:41:19,1900-01-00 00:00:00,,0E:4D:AB:8A:CE:1D,-41, ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:19,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:20,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,,1A:40:D5:8F:28:EC,-28,,0.000000,0.000000,0.000,0.000,Client
2025-10-14 20:41:21,1900-01-00 00:00:00,,1A:40:D5:8F:28:EC,-29,,0.000000,0.000000,0.000,0.000,Client
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:21,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-10-14 20:41:22,1900-01-00 00:00:00,Test AP,0E:4D:AB:8A:CE:1D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
